15	10
2	34	3	54	5	95	9	16	4	22	6	72	0	54	8	52	1	21	7	27	
3	39	2	29	0	14	1	42	9	81	8	82	6	78	5	101	4	55	7	66	
1	20	0	85	3	33	4	91	6	53	9	78	8	63	5	37	2	63	7	41	
4	62	2	87	8	26	5	80	3	67	7	41	1	87	6	40	9	80	0	91	
8	81	9	79	2	96	4	93	3	13	0	42	7	45	6	75	1	52	5	27	
8	36	7	94	6	6	9	9	2	33	1	9	5	28	4	62	0	96	3	73	
4	31	5	58	3	15	9	42	0	45	8	51	6	53	7	28	2	63	1	90	
5	6	4	20	2	42	6	53	1	43	7	74	0	89	3	42	9	42	8	12	
1	28	5	35	0	82	3	29	2	37	7	11	8	69	6	87	9	42	4	31	
2	97	5	83	6	76	9	80	1	73	3	33	8	71	0	68	7	43	4	94	
1	29	4	22	0	19	2	18	9	26	8	80	5	79	3	88	7	32	6	19	
5	26	9	97	0	59	4	45	6	75	3	98	2	23	1	72	8	91	7	88	
5	28	9	50	8	28	7	62	4	100	6	70	3	48	0	43	1	45	2	19	
1	12	8	49	0	81	2	51	9	79	3	20	5	27	6	64	4	91	7	98	
4	61	3	56	6	39	5	14	2	48	8	79	1	43	9	72	7	18	0	74	
