30	10
4	16	7	22	9	17	2	30	3	57	8	52	5	92	6	70	1	19	0	54	
8	77	5	104	1	41	7	63	2	31	3	39	6	78	9	77	4	56	0	11	
2	62	4	92	3	35	1	19	8	64	6	54	7	42	0	81	9	82	5	36	
0	88	8	27	3	65	7	38	5	80	2	85	4	60	6	44	1	91	9	82	
9	75	0	46	4	94	8	80	6	77	2	101	5	22	3	18	7	39	1	48	
3	76	2	38	5	28	0	93	7	96	4	64	8	37	1	4	6	6	9	7	
1	84	7	35	8	51	3	15	4	29	5	59	6	44	0	41	2	61	9	38	
1	45	7	71	2	40	0	88	8	14	6	58	3	43	9	42	5	9	4	26	
2	35	3	26	4	38	9	44	0	76	6	91	7	7	8	67	1	29	5	40	
1	74	0	67	5	81	3	27	9	78	7	48	8	65	2	96	6	76	4	99	
5	72	7	33	6	15	0	21	3	89	2	14	9	27	4	23	1	32	8	76	
9	98	8	96	5	27	7	86	0	54	1	76	2	20	6	72	3	103	4	49	
9	43	5	28	6	64	7	63	4	102	0	38	1	52	8	29	3	48	2	13	
9	78	3	17	5	26	1	13	4	97	6	67	7	94	8	51	0	83	2	48	
2	54	1	36	4	61	8	86	5	18	9	69	7	15	3	52	6	37	0	81	
9	17	5	57	4	72	2	18	7	70	3	95	1	69	0	51	8	75	6	53	
3	32	2	74	4	41	1	27	9	51	0	32	6	35	5	60	7	48	8	55	
8	68	7	39	2	19	0	66	9	37	5	2	6	19	3	31	1	47	4	88	
3	46	2	59	6	19	4	63	7	53	8	30	5	23	9	86	0	58	1	44	
4	18	6	65	1	82	2	90	7	72	0	82	8	31	5	56	3	57	9	20	
6	36	0	79	4	20	3	38	7	22	8	57	1	20	5	89	2	46	9	35	
3	53	9	44	6	64	5	21	0	51	8	56	4	54	2	37	7	74	1	51	
4	78	1	63	8	7	0	81	7	90	6	89	5	59	3	67	9	81	2	33	
9	19	1	65	4	30	3	32	8	11	2	17	6	85	0	96	7	52	5	13	
3	60	2	66	6	81	9	36	7	11	0	5	4	16	5	57	1	35	8	7	
1	6	4	81	0	65	2	62	9	14	6	45	7	102	8	58	5	41	3	94	
1	80	3	72	0	24	2	88	9	23	7	40	8	23	4	74	6	44	5	3	
5	12	3	81	6	62	1	17	0	18	7	46	8	32	9	29	2	16	4	79	
1	30	0	58	7	8	4	25	3	94	5	40	9	1	8	22	6	34	2	56	
4	14	8	16	2	58	3	93	1	95	6	37	7	13	9	23	5	63	0	89	
