,spp1-2-3-9202,converge_cnt,total_time,min
la21,1155.0,3779.0,955.4452433586121,1137.0
la23,1044.0,4346.0,1102.5914235115051,1037.0
la25,1120.0,3491.0,872.0794887542725,1059.0
la30,1429.0,3914.0,1433.4015972614288,1421.0
la32,1855.0,3473.0,2315.1076543331146,1850.0
la33,1719.0,4175.0,2772.913952589035,1719.0
la36,1396.0,3329.0,1417.2318601608276,1385.0
la37,1546.0,5228.0,2300.8431260585785,1533.0
la38,1359.0,4445.0,1928.6578514575958,1324.0
la39,1380.0,3824.0,1649.077871799469,1342.0
ta21,1908.0,3689.0,3605.791923046112,1865.0
ta22,1789.0,3671.0,3604.787678718567,1789.0
ta31,2057.0,3041.0,3604.7422251701355,1979.0
ta32,2111.0,3032.0,3610.841902256012,2074.0
ta41,2412.0,1970.0,3606.241110563278,2354.0
ta42,2300.0,1970.0,3607.994884252548,2217.0
ta51,3043.0,1340.0,3624.35396194458,2945.0
ta52,2997.0,1331.0,3608.310791015625,2984.0
