30	20
5	67	13	72	3	71	15	35	19	17	9	48	10	57	6	18	12	61	4	59	2	8	14	68	8	99	7	42	16	93	11	40	0	80	17	65	18	62	1	66	
13	42	2	60	15	52	12	17	4	69	9	81	3	36	7	28	5	4	0	35	8	16	14	19	6	53	19	83	1	69	10	22	18	10	17	23	16	70	11	37	
8	74	5	12	2	34	18	26	17	59	14	75	0	46	4	25	11	82	3	116	16	70	7	27	6	81	1	85	12	40	15	34	10	61	19	92	13	98	9	68	
13	39	8	101	0	36	11	61	3	92	14	29	7	72	4	12	18	75	6	50	19	19	5	30	2	84	9	66	10	91	15	16	17	75	1	34	12	43	16	33	
8	28	6	7	2	82	13	20	16	57	11	56	15	16	12	48	9	46	4	42	19	89	17	83	5	82	3	72	7	35	1	71	10	121	18	12	14	65	0	79	
1	9	13	11	10	68	0	21	2	52	12	92	19	4	5	20	17	33	16	50	18	22	4	15	15	8	8	76	7	50	6	108	14	7	11	52	3	90	9	43	
2	26	3	85	16	3	17	49	10	53	15	6	13	67	12	77	9	24	19	52	8	32	0	20	18	93	11	75	14	80	1	8	5	93	7	53	4	11	6	35	
12	41	10	59	17	34	4	89	3	87	11	34	2	108	19	24	8	30	9	84	13	63	14	84	7	44	18	16	15	43	6	57	16	54	1	82	5	61	0	71	
10	46	14	26	3	45	0	66	7	47	17	47	19	6	2	34	11	86	16	93	6	38	4	4	18	83	1	23	13	94	5	90	12	18	15	62	8	4	9	56	
0	19	2	29	3	40	9	64	8	82	12	14	16	100	13	96	4	4	10	21	6	35	19	3	15	7	1	48	5	24	17	77	7	48	14	79	18	43	11	17	
1	87	4	54	0	63	10	87	15	48	11	4	16	37	9	57	19	15	13	45	14	88	8	65	6	83	17	48	18	72	12	5	2	81	7	9	3	61	5	33	
6	31	5	101	9	46	10	3	0	75	2	65	3	81	12	9	11	55	7	40	13	34	8	92	19	87	14	57	16	34	4	49	17	61	1	86	18	20	15	74	
13	32	19	6	11	50	5	66	2	77	15	20	14	82	4	61	3	65	6	52	10	88	1	31	12	39	18	30	9	82	7	10	16	99	17	33	8	80	0	2	
10	59	3	36	4	83	9	46	17	48	8	72	0	76	19	60	2	85	11	62	12	30	1	47	18	6	15	103	5	37	16	57	6	23	14	52	13	1	7	47	
4	15	14	33	8	61	15	21	11	42	9	14	10	38	1	59	17	56	16	75	5	60	18	57	6	79	13	76	19	69	12	51	7	83	3	86	2	87	0	73	
4	39	9	17	18	19	19	84	3	89	17	59	15	2	16	83	5	12	8	16	11	60	14	95	0	33	2	94	1	77	12	78	6	84	10	41	13	32	7	89	
17	63	10	61	13	80	19	2	0	94	12	10	14	25	18	10	2	92	5	64	11	20	16	85	7	11	4	87	8	63	1	71	15	38	6	13	9	42	3	66	
19	95	13	4	9	114	3	8	6	64	17	30	7	88	16	26	5	74	14	61	15	9	18	35	0	23	2	47	1	59	12	96	8	19	11	61	10	60	4	11	
9	53	11	103	17	87	13	91	3	2	1	61	10	31	16	85	0	63	5	82	7	20	6	67	4	43	2	13	18	40	15	59	14	3	19	72	8	5	12	100	
17	56	8	14	13	74	7	47	4	111	0	61	6	21	9	80	16	20	18	73	11	26	5	74	10	10	12	84	2	12	19	106	15	33	14	69	3	93	1	100	
17	73	2	28	7	25	16	92	6	38	12	91	14	109	9	2	3	79	18	41	0	3	4	99	5	81	8	13	1	15	19	71	10	4	11	82	15	16	13	53	
0	55	7	29	16	29	12	22	3	85	6	56	19	82	2	5	10	29	9	60	18	31	8	99	13	4	5	106	11	63	4	30	15	54	1	48	17	84	14	30	
10	4	18	17	4	46	5	75	12	27	6	3	9	1	1	96	11	9	13	94	8	69	7	82	17	90	0	17	2	47	14	60	19	69	15	38	16	12	3	1	
14	55	0	19	5	61	11	61	9	91	19	76	10	49	15	69	2	26	3	62	4	28	18	94	17	3	13	5	12	84	7	32	6	53	1	76	16	45	8	91	
11	85	6	85	18	83	14	57	16	48	0	56	17	74	10	52	9	59	2	38	7	73	4	79	19	48	5	38	8	91	1	85	12	4	15	45	13	37	3	75	
18	44	13	32	10	35	12	67	1	47	9	56	0	80	7	90	2	74	5	62	16	59	6	91	17	40	8	32	14	74	3	8	4	57	11	88	19	60	15	45	
14	75	2	76	19	13	10	4	11	77	16	4	9	46	7	104	15	60	1	126	5	12	13	14	4	19	8	86	18	12	0	93	3	41	12	1	6	53	17	54	
0	33	18	75	8	100	9	31	12	84	17	49	16	51	19	29	15	57	11	79	2	98	13	49	3	40	10	62	5	64	7	87	6	14	4	76	1	42	14	71	
18	74	11	98	9	13	14	96	4	39	0	38	16	54	3	59	8	60	6	42	13	21	15	19	7	44	2	70	10	64	12	43	19	8	17	29	5	48	1	17	
16	31	3	94	9	80	6	23	2	78	18	82	11	36	1	36	4	36	0	91	5	49	7	42	12	91	15	47	8	57	14	19	13	62	19	27	10	91	17	43	
